Username,Review Date,Visit Date,Business,Review Title,Review Text,Rating
LazarosB5,"January 31, 2017",January 2017,Clochard,Classic with atmosphere,Nice food and people together with a great atmosphere and music. It has been a nice experience which it will be repeated,4.0
travelle-123,"January 18, 2017",January 2017,Clochard,Beautiful Place / Interesting food,In the center of Thessaloniki . Beautiful environment. The staff is the professional and kind . The food is very interesting . Has very interesting and taste plate from Greek Cuzine and International Cuisine. Is better to have reservation first .,5.0
KomorowskiGuestRooms,"January 12, 2017",January 2017,Clochard,"Excellent food, at reasonable prices, and wines to pair!","After reading some of the reviews, I have to the conclusion that it's all about expectations. This is NOT an expensive restaurant (20 euro main courses, 10-15 euro appetizers, and countless bottles of wine for under 10 euros). It is also not a very cheap...More",5.0
Kyvos,"January 7, 2017",December 2016,Clochard,Very tasty food at the heart of Thessaloniki,"The name of the restaurant, Clochard, is exactly the opposite of the actual meaning of the word. The restaurant is oriented rather towards customers with a higher than average expendable income and is for customers of that class also considered as kind of an ""institution""...More",4.0
Carmine47,"December 8, 2016",December 2016,Clochard,fusion cuisine in Makedonia,"Makedonia has been a melting pot in history and has traces of many cultures. Clochard is a small, elegant truly nice restaurant. I visited the place with a group of Greek friends and the lunch was high quality from the marinated fish to start with...More",5.0
GastronomerThess,"November 11, 2016",October 2016,Clochard,Simple yet amazing food,"Excellent environment (definitely fine dining), delicious food (Greek / Mediterranean cuisine based on fresh ingredients with a sublet gourmet touch), polite staff. The menu is pricey but it's one the places in Thessaloniki that can actually justify it. I would recommend it for special occasions,...More",5.0
stavroulakismanolis,"November 6, 2016",November 2016,Clochard,True star!,"A unique place downtown,in the heart of the city. A five star gastronomic gem that offers top food,fresh tastes and focus on the customers' satisfaction. Very good wine selections from greek and international wineries.tip: leave space for the desert!",5.0
vasilios1980,"November 1, 2016",November 2016,Clochard,Just above average,"If you are bored from the numerous Greek settle tavernas that offer quality food in thessaloniki, this place is a good one to feel in your pellet a bit of gastronomy. However I feel that the place is overestimated and if you compare it to...More",3.0
mbgandco,"October 30, 2016",October 2016,Clochard,A restaurant to grace any world city,"Great food and great service made this an outstanding meal. The owner was charming and helpful and some of the dishes were truly outstanding. Just one word of caution, the restaurant was fairly quiet until after 10pm and there the atmosphere was a little flat",5.0
GiannisDr,"September 18, 2016",June 2016,Clochard,Set menus are the best,"We had a multi course meal to celebrate the golden hats earned this year by chochard. Everything was high quality and tasty , while much much better value than going a la carte. I hope they will put a set menu available for the whole year so that we ll visit again.",5.0
ColinMcCull,"September 6, 2016",May 2016,Clochard,Excellent menu and atmosphere,In my opinion one of the outstanding restaurants in Thessaloniki which has been around for as long as I can remember - and I live here! It has a truly international menu and similarly the wine list is impressive. The staff are courteous and discreet...More,4.0
Ioannis A,"August 30, 2016",August 2016,Clochard,All time classic.,Probably my favourite in Thessaloniki area. Has a european sense and design that travels you far from Thessaloniki. Try the Taliata and the chocolate sphere. The service is what you expect from a restaurant of this class.,5.0
alisson_holmess,"August 25, 2016",July 2016,Clochard,An unforgettable experience,I had heard a lot about this restaurant and it really met my expectations...amazing flavors and textures and especially the starter with salmon and for dessert go for the chocolate sphere you ll be amazed!!,5.0
Niki D,"May 28, 2016",May 2016,Clochard,Amazing!!!,It is an amazing bar-restaurant. The place is so beautiful and relaxing. The staff is polite and friendly. A big thanks for the great experience. I will visit it again!!!,5.0
GiannisDr,"March 1, 2016",January 2016,Clochard,fine dining,"Classic restaurant in Thessaloniki, many years in this location. The quality is up there, as also the preparation and presentation. The chocolate sphere was amazing and totaly recommented despite the price of 14euros. We also had some great raviolis made in house. The decor is...More",5.0
Kiltiejourno,"January 31, 2016",January 2016,Clochard,A triumph,As long as you take off your EU smoking ban hat off you'll love this place. The textures and flavours are adventurous without overloading your senses. They use seasonal ingredients and there was a fish dish with smoked creamy aubergine which was divine. Unfortunately as...More,5.0
777lefterist,"January 19, 2016",January 2016,Clochard,Best restaurant in Thessaloniki,Awesome place!!! Extraordinary food with great variety of sea food and desserts!! Very helpfull staff!!,5.0
Eva V,"December 23, 2015",August 2015,Clochard,Unmissable!,"My recent trip to Thessaloniki was sealed with a visit to the lovely Clochard, situated in the heart of Thessaloniki. A hidden gem..Well perhaps not as hidden as originally thought as apparently it has been receiving annual awards for years now.. The ambiance is reminiscent...More",5.0
Sheila S,"November 13, 2015",November 2015,Clochard,Excellent food & relaxing decor,"After a couple evenings eating at typical Greek fish tavernas, we looked for something different. Clochard really fit the bill. The staff were welcoming & attentive (not overly so), & the ambience very pleasant. The food was excellent & of the highest standard. The presentation...More",5.0
ioanniss899,"November 3, 2015",November 2015,Clochard,Golden class restaurant,We visited Clochard with my wife on our wedding aniversary. The food was excellent. The quality of the raw materials combined with the ispired chef touch give an exceptional result. The wine list is rich with multiple choices for low and high cost wines all...More,5.0
AlexiaSandis,"October 28, 2015",October 2015,Clochard,Pure Class,"We popped in for a spot of lunch, myself a light salad and glass of Chardonnay, my husband a filet steak!! Lunch was great, the service was professional and subtle, the ambiance chic. Clochard is a must for those who enjoy the simple yet beautiful...More",5.0
Filip V,"October 7, 2015",October 2015,Clochard,Quiet pearl in a busy streaming city part,"Almost aphasard discovery , arrriving a little bit late in the evening without reservation , we found a place for 2 by sheer luck . This did not prevent us to be greeted with warm , correct and a little bit sober but friendly ,...More",4.0
eva-mae-kay,"October 5, 2015",October 2015,Clochard,Always trust Tripadvisor,You show up in a strange country in a city you have never visited before - you have had a stressful day - nearly missed two connecting flights so you are glad to have finally arrived in your hotel (which you found through trip advisor!)....More,4.0
Giorgos N,"April 16, 2015",April 2015,Clochard,One of the best restaurants in Thessaloniki,"One of the best restaurants in Thessaloniki, everything they offer is top class. Small place but very elegant and chic, nice music, very professional service. The food is top class in all aspects.",5.0
PeterSilvainMooij,"March 28, 2015",March 2015,Clochard,"Tasty food, great wine list","Lovely decorated restaurant in the centre of the city just one block from aristotelos square.
Very good and assorted menu with very tasteful dishes.
Very impressive wine list with all the great ones from Greece and some foreign.
professional and friendly staff makes everything complete.
very well recommended.",4.0
jlview,"February 22, 2015",February 2015,Clochard,Superb!,"Feb 20, 2015: Nice ambiance, very nice food, excellent service and all this at a reasonable price. Do not miss it! We will definitely visit it again. Many restaurants in Athens have a lot to learn from it.",5.0
daneevans20,"February 17, 2015",February 2015,Clochard,Excellent local dishes with a French Twist,Visited Clochard with a local to Thessaloniki who knew the restaurant well and spoke volumes for it. I was not disappointed. Excellent food at a suitable price served in a fantastic chic yet modern atmosphere. Highly recommend.,4.0
Giannis S,"February 14, 2015",March 2014,Clochard,Nice food. Elegant and warm.,Clochard is small restaurant with very nice warm atmosphere and delicious high quality food. I would suggest to visit it in a small format company up to 4 people to keep atmosphere in the right way. Went there few times and every time was fully...More,5.0
Francine68_10,"February 5, 2015",January 2015,Clochard,One of the best,"One of the best in Thessaloniki. Classic and more. Nice atmosphere, excellent cuisine! The service is on of the best in town. Value for money.",5.0
georgia m,"February 4, 2015",January 2015,Clochard,the best restaurant in our city,"I think that everyone that visit our city ""must"" have the experience of clochard restaurant.Very good service, excellent food,(simply and tasty), very nice environment, Besides clochard is in ""down town"" location.And what is more? It is not expensive. We visit it with my husband the...More",4.0
310despinat,"January 21, 2015",February 2014,Clochard,The place to eat !,"One of the finest restaurants in Thessaloniki ! Nice minimal decoration, chic atmosphere, amazing service, delicious food experience ! Great value for money !",5.0
Effimiak,"January 21, 2015",January 2015,Clochard,"Imagine a home cooked meal, in a 3 star restaurant. Perfect.",At first you don't realize it's there. Then you walk in. The atmosphere is captivating and you immediately feel at home. The food tastes like it was cooked by your grandmother. It is delicious and comforting. In my opinion one of the best restaurants in...More,5.0
Dr_Taniman,"December 25, 2014",December 2014,Clochard,"Barely above average, overestimated restaurant.","Long time since I last tried this classic restaurant in the city center, due to my disappointment few years ago. So I gave it a second chance... The atmosphere of the place is very chic & minimal making you at the same time feel comfortable....More",3.0
PolinaPop,"December 23, 2014",December 2014,Clochard,Best meal in town - лучший ресторан города,"You can find here the best meal in the city, great location and service. Gourmet and traditional dishes in reasonable prices. Perfect spot for young couples and families. Уютный и теплый интерьер , дружелюбный сервис, логичные цены. Меню удовлетворит даже гурманов. Подходящее место для семей...More",5.0
s0tiriav,"December 14, 2014",December 2014,Clochard,"Not only a restaurant, an experience!","If you are looking for something exceptional in the city, you have to try the Clochard's experience... When you enter in the restaurant you feel positive vibes in the atmosphere welcoming you... The warm light and the ambience, the sincere smiles of the personnel and...More",5.0
Parrisia P,"November 10, 2014",November 2014,Clochard,best Thessaloniki restaurant,"Situated on a quiet street at the heart of the city, Clochard was and remains the best restaurant around. Recently went through major renovation -its decoration is now ultra modern- but fortunately the menu and the wine-list stayed the same. Top cooking, top service (the...More",4.0
Zafeirina K,"October 22, 2014",October 2014,Clochard,will come back,"A really cool urban ambience, perfect location, a really gentle service, average to high prices BUT the food (although it was really well cooked - above average) it does not meet up with the standards of a multi awarded restaurant. Nevertheless, Clochard leaves you with...More",4.0
KatiIL,"September 15, 2013",September 2013,Clochard,"Upscale, but worth every cent","Going on Lonely Planet's map, we almost missed this intimate quiet restaurant (it's on the other side of the street than indicated). That would have been sad indeed, as we had a most wonderful dinner there. Yes it was the most expensive meal we had...More",5.0
Smokedeel,"April 19, 2013",April 2013,Clochard,"Nice setting, high prices.","The restaurant is small, but quite nice in terms of setting and location. Very fancy, it seems to attract mostly people on expense accounts, as the prices are rather high. The quality of food was not bad, but certainly not up to where it should be, given what they charge. The menu is in need of a face-lift, too.",3.0
Alexios R,"April 8, 2013",April 2013,Clochard,all time classic restaurant,"it is a rather small intimate place with good service, excellent food quality and nice settings. the decoration is simple and elegant, the clientelle is upscale.prices are high.",4.0
Vasiliki63,"April 5, 2013",March 2013,Clochard,An excellent restaurant indeed!,"As one of the previous reviewers, though I have been living in Thessaloniki for 8 years, I, too recently discovered Clochard. It is easy to pass by without noticing especially in the evening, as it is not one of those fancy, wannabe trendy places with...More",5.0
Leon317,"January 18, 2013",December 2012,Clochard,At Last a Proper Restaurant,I have been living in Thessaloniki since 1996 and only recently discovered Clochard. At last a proper restaurant and not a taverna. I loved the atmosphere and all and it reminded me of my favourite restaurant in South Africa where I was born and raised....More,5.0
blackleon,"January 9, 2013",January 2013,Clochard,A classic choice in Thessaloniki,"Located at Proxenou Coromila Str., one block above the sea front Nikis Ave at the heart of Thessaliniki, Clochard is the most classic quality restaurant of Thessaloniki. Menu is not extensive with certain dishes that remain unchanged for years, though quality is out of the...More",4.0
Tomruk O,"December 3, 2012",November 2012,Clochard,FOR INTERNATIONAL FOOD,"I had my mind set up for Greek food and ordered accordingly and not happy at the end. Actually restaurant looked much better than my experience, so I assume I made the wrong choices. Go for international food or seafood here. Service was good and...More",3.0
Dimitris K,"December 2, 2012",November 2012,Clochard,November 2012,There are only a few restaurants in Thessaloniki that respect themselves and the customer. Clochard is the best of them. It is in the gastronomy scene of Thessaloniki for more than 30 years. The owner goes every day to the local market and buys the...More,5.0
Guy C,"March 20, 2022",March 2022,Navarino Creperie,Hidden Gem!,"Hidden Gem! Bread or pancake with many toppings! Gave the cook carte Blanche and he made a wonderful and delicious pancake with potato, bacon, chicken and homemade sause! We also had a hot sandwich with chicken.
Sympathetic cooks.
Price was good, food delicious and location great just in front of archeological site of old palace from one of the first kings. Plenty of benches to sit everywhere. Nice view.",5.0
mateapetr,"August 24, 2022",August 2022,Navarino Creperie,Delicious! Also for vegans ;),"They have more to offer, not only crepes but omg they are so good. You can choose between normal or vegan, sweet and savory. Many vegan sweet options available: dark, white chocolate, jams, spreads, nuts, fruits and oreo cookies. I had mine with white and...More",5.0
shumskadekla,"July 22, 2022",July 2022,Navarino Creperie,Vegan pancakes!,"This was so good and big!!! I had it for my breakfast and even though I am a big morning eater, I ate only half (the other half my boyfriend finished) and was full because of how stuffed it was. And the fact that the...More",5.0
983evip,"July 27, 2020",July 2020,Navarino Creperie,The best crepe in town,The best crepe I have ever had. I’ve tried savoury (cheese mushrooms and chicken) and sweet (white choc strawberries and Oreo). Both were amazingly delicious and the portions were huge. Definitely I’m gonna go again before leaving thessaloniki. Highly recommended!,5.0
VagosTikas,"January 26, 2020",October 2019,Navarino Creperie,Excellent staff,"Mr Simos the guy who works there since my early student years is perfect. Warm, kind and ready to serve you. Always with a smile. Value for money definitely one of the few crepes with quantity snd quality. Also serves toasts, donuts croissants etc. Special...More",5.0
mitzos,"July 30, 2019",July 2019,Navarino Creperie,very good,! very good quality / very good taste ! keep it up ;) The Orginal Greece Crepes ! the store is in a cool place,5.0
yllihashani,"June 10, 2023",June 2023,Navarino Creperie,Meet the crepe of your life,"The best crepes ever! Amazing and very delicious. You can choose many ingredients and ranges of meet. I tried the salty, but they also have sweet ones.",5.0
mewood44,"June 7, 2023",July 2022,Navarino Creperie,Best crepes in Thessaloniki,"The best stuffed crepe i've had - and the workers were so beyond nice! My crepe was huge, and you get to custom make whatever you want in it. Such a fun experience, I miss it!",5.0
nabaron89,"June 4, 2023",June 2023,Navarino Creperie,Amazing vegan crepe!!,"Wow!! Had the vegan crepe with vegan chocolate and banana. It was delicious and only $4! Probably should have split it with my partner instead of each of us getting one, but no regrets!",5.0
klebenyi,"May 8, 2023",May 2023,Navarino Creperie,Excellent,"It was our firat time in Thessaloniki, and it was the best crepes ever!! The staff is kind and help you with everything, the prices are really good (for Hungarians too🤣)",5.0
pavol_ven,"February 10, 2023",February 2023,Navarino Creperie,Very tasty and fresh,We had very tasty sweet and salty crepes from fresh ingredients. Very friendly staff and great location with cosy atmosphere. Highly recommended.,5.0
kantegiorgos,"January 29, 2023",January 2023,Navarino Creperie,Best crepe,The best crepe / salty or sweet The guys are super friendly and the portion is always very generous! merenda with biscuit for me!,5.0
Fannihehe,"January 18, 2023",January 2023,Navarino Creperie,Delicious food,I tried both sweet and savory pancakes and all of them were heaven. The personnel was also very kind and nice. Def recommend!,5.0
makhana01,"October 8, 2022",October 2022,Navarino Creperie,In love!,Staff is as amazing as the pancakes they are making! Not to mention they are not expensive at all. We got extra sweets on ours ^^,5.0
Josie B,"September 12, 2022",September 2022,Navarino Creperie,try it!,"Delicious crepes, friendly and quick service and a nice area of the city, reasonable prices. vegan crepe batter is questionable but fillings were great",5.0
Cruiser790161,"September 9, 2022",September 2022,Navarino Creperie,The best crepes,Really good crepes with fresh ingredients and reasonable prices. The staff is helpful and nice. A must if you want a quick bite.,5.0
KeithAWadge,"September 8, 2022",September 2022,Navarino Creperie,Amazing options for Crêpes,Such an amazing choice of sweet crepes and a service with a smile. I really loved every bite of the crêpes and its definitely one of the places not to miss in Thessaloniki,5.0
Duncan B,"September 4, 2022",September 2022,Navarino Creperie,Super tasty!,Stopped in for a quick bite to eat while exploring the ruins nearby. Super friendly and really tasty crepes and toasted rolls.,5.0
A1468LLdianah,"September 4, 2022",September 2022,Navarino Creperie,10/10 place,"Staff was really nice and helped with everything, made us a custom crepes without meat. The food was simple and very tasty.",5.0
55mikaellaa,"August 1, 2022",August 2022,Navarino Creperie,excellent,"excellent crepes and very friendly staff, loved this place everything was nice and we came all along from cyprus for those crepes",5.0
danut01,"July 30, 2022",July 2022,Navarino Creperie,"Awesome crepe, get it while it’s hot !","Very friendly staff! Various toppings, fruits! All kinds of combinations. Huuge crepe for a small price! Recommend 100%, must have a crepe here!",4.0
andreicO642ZU,"July 15, 2022",July 2022,Navarino Creperie,Amazing sandwiches,Super good sandwiches and the lady was very helpfull and nice. Totally recommend for a fast breakfast.,5.0
337belleh,"July 10, 2022",July 2022,Navarino Creperie,Delicious and inexpensive crepes!!,So yummy. Very sweet employees 💓not expensive at all and there’s vegan options! Very close to the water which is nice,5.0
Disregard M,"June 18, 2022",June 2022,Navarino Creperie,Excellent! Must visit.,The crêpe was delicious. The place isn't expensive. They put a lot of toppings for the price and fresh fruits. It's a must to visit.,5.0
Geoffroy R,"May 10, 2022",May 2022,Navarino Creperie,Great crepes,"Great crepes, very generous and great location. I have nothing more to say but I need to write at least 100 characters so now we’re good.",5.0
jonathan11062000,"August 27, 2021",August 2021,Navarino Creperie,Great Food - Friendly People,Great Value for the price. Friendly staff that are helpful in choosing food. You’re definitely not leaving hungry!,5.0
gr_tig2021,"August 2, 2021",August 2021,Navarino Creperie,Really nice breakfast,We found this place when we were walking in the morning. Food was super nice and we got full for hours. Very good for vegetarian people also. Loved it.,5.0
DraganaDj37,"July 23, 2021",July 2021,Navarino Creperie,The best pancakes in Thessaloniki,"Our family recommendation to try Navarino pancakes, taste is excellent. stuff is very friendly, location is perfect...kids adore them💜",5.0
Z8189SOrr,"April 13, 2021",September 2020,Navarino Creperie,Lovely crepes & service,"Went here in September. Loved these tasty crepes! As a vegan, it was so nice to be able to get these yummy crepes without animal ingredients. Bravo!",5.0
Bane91,"August 31, 2020",August 2020,Navarino Creperie,Very nice service,"Polite staff , cheap and very good food....crepes and hot dogs recommendation...keep on with very good job",5.0
jojor636,"July 15, 2020",July 2020,Navarino Creperie,Great for vegan options!,"There are really good options for people on a vegan diet. I chose a quite heavy one (vegan mayo, vegan cheese, zucchini balls and mushrooms), but I really enjoyed it!",5.0
Jamie_Boy_P,"February 26, 2020",February 2020,Navarino Creperie,AMAZING CREPE,"very good service, I left with a smile on my face an a full stomach. σας ευχαριστώ από το αμερικανικό αγόρι!",5.0
247danan,"February 15, 2020",February 2020,Navarino Creperie,Delicious vegan pancake,They make awesome vegan pancakes (lot of sweet and salty options) and the lady is very kind and friendly :)),5.0
MT_JO_trips,"January 16, 2020",January 2020,Navarino Creperie,Best crepes ever!,"Really delicious crepes, large portions and with so many options for both savory and sweet fillings. Definitely recommended and prices were great too!!",5.0
775bart_omiejk,"September 29, 2019",September 2019,Navarino Creperie,Delicious crepes,"Great place to eat quickly and very tasty. In addition, portions are very large. You can choose what you want pancakes with, whether sweet or savory or even vegan. The service was very nice, we spoke English easily. We will definitely be back again. RECOMMEND!",5.0
Kittipop,"September 23, 2019",September 2019,Navarino Creperie,Best crepes in Thessaloniki <3,Best crepes in town!!! Friendly service by a lovely lady who even remembered our coffee preferences. Excellent vegan crepes as well as nutella crepes with fresh fruits. Good coffee. :) Higly recommended place to visit.,5.0
Razvan M,"September 17, 2019",September 2019,Navarino Creperie,Best crepes,We ate here our best meal in Salonic. Really tasteful crepes with a large variety of fillings both vegetarian and meat.,5.0
Jannis S,"August 14, 2019",August 2019,Navarino Creperie,Very good quality food for small price,Very very nice people and very good crepes and toasts. For very low prices! The toast bread is self made as the mixture for the crepes and there are whole grain options too! Even for vegans there is something to eat!,5.0
Zoran M,"July 20, 2019",July 2019,Navarino Creperie,Late late lunch,Was recommended by our unit owner. Could not be wrong. Quick easy delicious food for great prices!! Feed family of 5 for 15€,5.0
PustaiRaresP,"July 18, 2019",July 2019,Navarino Creperie,Crepes,"Quality crepes, and nice scenery. A nice place to start a new day in Thessaloniki. Surely i'll be back one day.",5.0
Ttenev,"July 7, 2019",July 2019,Navarino Creperie,The best crep,All the best. We are very happy to have branch and lunch and all day :) recommend to all family with children.,5.0
GrouchySarcasm,"July 6, 2019",July 2019,Navarino Creperie,Brilliant Crepes in a brilliant setting,Brilliant food feet from a large archaeological site. Food is brilliant with anything you want on Crepes. English speaking service and lovely people,5.0
chris g,"July 6, 2019",July 2019,Navarino Creperie,Best crepes in Thessaloniki,"The best, biggest and tastiest crepes in town. Very good prices for such delicious crepes and coffee. The staff and especially Antigoni, was very nice, helpful and friendly. I strongly recommend it for everyone who wants to have "" a great greek crepe experience """,5.0
615marcint,"July 3, 2019",June 2019,Navarino Creperie,Crepes with everything!,"Nice place with a lot of locals and that need to mean something! Very nice english speaking service. You can pick crepe with almost evertyhing what you want! It can be meat, sweets or vegetables :) You are the creatof of your meal. They will...More",4.0
Beat567,"May 28, 2019",May 2019,Navarino Creperie,Amazing crêpes,"Huge Crêpes with a generous portion of fruits/nutella/wipped Cream,etc. Nice choice of filling. The staff was charming and very kind. One of the best crêpe of Thessaloniki!!",5.0
Harry R,"May 25, 2019",May 2019,Navarino Creperie,Huge Crepes,"Lovely service, good area, great crepes. The servers speak English which is very helpful. A great variety of ingredients.",5.0
VerenaKyratzes,"January 12, 2019",January 2019,Navarino Creperie,Best Crepes in town!,"Amazing crepes with a huge selection of sweet or savoury ingredients (they also do great toast, btw). Moar than generous portions. Staff is friendly, likes to chat and speaks good English. Only drawback is that it's streetfood and as such there is only very limited seating, so don't go here if you're looking for a sit-down lunch.",5.0
Alexandru G,"August 28, 2018",August 2018,Navarino Creperie,Best crepes in town,"Delicious crepes at very good prices. Also the staff was very friendly. if you arrive by Saloniki,do not hesitate to visit and eat in this place. I strongly recommend!",5.0
Kalli A,"August 11, 2018",August 2018,Navarino Creperie,Amazing crepes!,Great savoury crepes and super friendly staff!! Definitely recommended!!! Very good prices and huge portions!,5.0
caiab2018,"August 7, 2018",August 2018,Navarino Creperie,Amazing!,Friendly staff who spoke very good English and made massive crepes for a very good price. Lovely place,5.0
amarabuckeridge,"August 6, 2018",August 2018,Navarino Creperie,Excellent Crepes!!,Lovely crepes with great portion sizes. Would definitely recommend. The staff were also very lovely and friendly.,5.0
Alexandru M,"June 29, 2018",June 2018,Navarino Creperie,Very friendly staff,The staff was very friendly. I ordered a crepes and my wife a grill vegetarian sandwich. The food was very good and we also enjoyed our stay on the therase outside.,5.0
GreatToursRO,"June 8, 2018",June 2018,Navarino Creperie,Great crepes,If you like sweet crepes this is a good place to satisfy your pleasure. Try the one with merinda - Greek chocolate similar to Nutella.,5.0
Matthew D,"May 7, 2018",May 2018,Navarino Creperie,Breakfast,"Wonderful crepe, freddo coffee and very warm service made this a great breakfast! Navarino is also located on a cute walking plaza with plenty of shops.",5.0
_Y1967EY,"September 30, 2017",September 2017,Navarino Creperie,The best pancake in Thessaloniki,"Pancakes, tosts, hot dogs, coffee.. Any choices in big sizes and good prices! The pancakes are the best of the best... sooooo delicious! If you are in Thessaloniki, you have to go to this store! Navarino its name ....unique flavors. So many choices to eat...More",5.0
Pelman91,"July 13, 2017",July 2017,Navarino Creperie,Best crepe place in Thessaloniki!,"Crepe with bitter chocolate, vanilla ice cream and caprice was exceptional!! Also, the store has the biggest hot dog in town (40 cm!) and a huge variety of flavors in crepes and sandwiches where we can get whatever we love!!",5.0
Ioanna P,"July 13, 2017",June 2017,Navarino Creperie,Navarino-,"One the best places in Thessaloniki to eat hot dogs, toasties and crepes with a variety of ingredients to choose from. Very clean and most importantly, friendly people!!!",5.0
WNHD,"November 13, 2022",October 2022,Argofageio,It's tiny tiny but BIG on taste,"This is seriously the best food we have eaten in Greece anywhere. Very affordable, great portions, lovely atmosphere, friendly staff. So fantastic we went again the next night.",5.0
jckbarks,"May 7, 2022",April 2022,Argofageio,Delicious food in an authentic place,"This was a really good restaurant with delicious, affordable and traditional greek food. We ordered dakos to start and then had sautéd veal with mountain greens and pork with peppers. Everything was delicious, felt very authentic and was reasonably priced. The only thing I would say was that at one point a couple asked if the waiter could remove some leftover plates so they could eat and the waiter told them no and they had to leave... so make sure to book in advance - there aren't many tables.",4.0
548yusufp,"July 19, 2022",June 2022,Argofageio,A home from Home resturant,"We found this place by accident, as we were looking to help the homeless in Thessaloniki, and found the Chef was a avid supporter of feed the poor. So we contacted him to arrange to see if we could help him, and then COVID struck...More",5.0
jasone520,"August 29, 2022",August 2022,Argofageio,Overrated,"The Good; friendly staff, nice ambience, the pork chops are great, they have a good beer selection and the house wine is OK….. everything else, the split peas are like English mushy peas not fava, the village sausages are like frankfurters and you can get...More",2.0
anthonytT3069HT,"October 10, 2021",October 2021,Argofageio,Great hole in the wall food!,"Argofageio, or Argophageio on Google maps, or Αργοφαγειο on the restaurant's signage is a great gem in a small place. I mentioned the names as I had a hard time telling the name to a taxi driver. I eventually used Uber app to book a...More",5.0
845irenav,"April 6, 2022",April 2022,Argofageio,Greek cuisine at its best,"Every time I try to describe my experience at dining at this restaurant only this comes to mind , comfortable twist on familiar dishes . The Chef makes miracles happen in his kitchen . Healthy ingredients of small local producers are transformed into unique flavors...More",5.0
marsle,"April 22, 2022",April 2022,Argofageio,Delicious Traditional Food,"This small, intimate restaurant was just what we were looking for! The chef takes pride in the food that he prepares and it shows - the food is delicious. We ordered squid in a lemony sauce. The squid was tender and served with roasted vegetables....More",5.0
MaxMercury,"June 1, 2023",June 2023,Argofageio,"Friendly, tasty, interesting","“Slow food” is the motto of this hole-in-the-wall restaurant that is definitely worth the visit. A handwritten menu only hints at the seasonal flavors behind the words, which encompass a large variety of local plates. The service is in no way slow, however. And it...More",5.0
Nikos K,"November 7, 2021",November 2021,Argofageio,Delicious traditional food and friendly people,Delicious traditional Greek dishes. Chef Giannis always makes sure to have raw materials of fine Greek products. The staff were very warm and hospitable; when we had a few customers we met chef Giannis and Giorgos and Nikos where they presented us for each dish...More,5.0
jonnyj525,"September 5, 2021",September 2021,Argofageio,Real Greek hospitality,"The place looks really modest from the outside, and frankly we would hardly stop here if it wasn’t for the reviews. But the waiter gave us the warmest welcome, suggested the selection of Greek dishes from the menu and we were in for a real...More",5.0
Jim_Carrington1979,"July 13, 2021",June 2021,Argofageio,Small place with kind-hearted people,"A chef friend of mine from Blackburn discovered it and when he learned I was going to be in Thessaloniki for a few days, insisted on visiting it. Well he was so right, Greek traditional food with some of the best meats and appetisers I...More",5.0
Caroline I,"October 6, 2020",October 2020,Argofageio,Tiny place with a heart,"We had a lovely dinner at Argofageia. The food was absolutely wonderful and the owner and chef took great care of us, helping us make our selections from the menu (changes every day) and just feel right at home. They were kind and ultra hospitable....More",5.0
christosk356,"December 18, 2020",September 2020,Argofageio,The best for comfort food made with love.,"It was a dear friend who invited me there to meet ""a great chef"" as he mentioned. He wasn't lying. We had personal assistance by the chef himself who proposed and offered us one of the best meals I had in the city. The wine...More",5.0
SkipperC,"October 21, 2022",October 2022,Argofageio,Tasty food with friendly service,"I have visited this small restaurant many times with my family and friends. It has all the package i need and it excites me personally. First the food. Giannis is amazing with every food he cooks. The raw materials are selected and, if possible, organic....More",5.0
Evi G,"September 10, 2021",September 2021,Argofageio,"Greek taste, hospitality and great service","Tasting great Greek dishes in a friendly environment makes this small restaurant a perfect choice for everyone. There are some tables outside where you can enjoy a glass of wine from a great selection, or drink tsipouro as my friend did, with meze, small delicious...More",5.0
Sue H,"June 26, 2022",June 2022,Argofageio,Great little place,"We visited last week purely because of the reviews. There are so many good places to eat in Thessaloniki a bit of guidance is welcome. It’s in a super area, plenty of other little bars and cafes, about a 10 minute walk from the sea. Only 6 tables, and a lovely friendly guy running the place. We had a fresh seasonal salad, grilled pork with fries, and the most succulent piece of fish, described as baked, but more poached. Half a litre of wine, and fresh warm bread, all for 26 euro. Such a nice experience, thank you.",5.0
evripixxy,"June 15, 2020",June 2020,Argofageio,This chef knows what he is doing! The finest greek slow-cooked recipes that make you feel at home.,"One of my favorite restaurants when it comes to greek traditional cuisine. The owners are 2 amazing people that make you feel cosy and most welcome. The delicacies are made only with the finest products, chosen carefully by the chef, Giannis, from local producers all...More",5.0
marcsnelson1,"July 4, 2022",July 2022,Argofageio,"Wonderful meal, great prices","Went here based on the reviews and had an excellent meal at an amazing price. 28 Euros for two people with appetizers, main courses and wine! Olive appetizer was delicious but way too much to eat! (Enough for 4-5 people). Bread was great. Order it....More",4.0
TRACEYSK,"January 18, 2020",January 2020,Argofageio,"Fabulous food, lovely taverna","Of the 4 restaurants we dined at during our stay in Thessaloniki, this was my favourite. Located in a small side street, Argofageio is everything we could have asked for. Service is friendly and personal, dishes are explained if required and the chef came out...More",5.0
Excursion65744677940,"June 5, 2022",June 2022,Argofageio,Hidden Gem — Authentic & Affordable,"I’m currently traveling alone and decided to stop in here for dinner having read other positive reviews. I wasn’t disappointed. The staff was super friendly and made me feel very welcome, which I really appreciated. The food was also delicious & at a low price....More",5.0
